ID,NAME,RESPONSE,NOELEC,DISTRICT,PARTY,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q7_1,Q7_2,Q8,Q9_1,Q9_2,Q9_3,Q10,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13,Q14,Q1_1_FA,Q1_2_FA,Q1_3_FA,Q6_15_FA
11,山崎力,1,0,2,1,3,3,1,69,0,1,16,7,90,20,80,0,40,10,0,70,50,50,1,99,2,2,3,2,2,3,4,3,2,2,3,5,3,2,1,4,5,5,3,4,2,3,2,4,4,3,3,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2,2,3,2,2,3,2,2,3,99,99,99,99,99,99,99,99,99,新聞等マスコミ報道に関心を持ち価値観の相違を勉強して投票を。,,地方の創生,,
12,田名部匡代,1,0,2,2,1,0,2,47,1,1,13,4,50,50,50,50,50,50,50,50,50,50,2,3,2,4,3,3,3,3,3,2,1,5,4,3,3,3,2,1,1,1,2,1,4,5,4,3,5,4,4,4,2,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,5,5,4,2,3,1,2,2,3,4,5,7,1,6,5,自分たちの生活や未来を自分たちで守り創り繋ぐ気概を持ち投票へ,,,,
13,三国佑貴,1,0,2,11,1,0,1,31,0,1,2,5,25,0,5,0,0,0,0,5,0,0,1,4,2,1,1,3,3,5,1,5,2,1,3,3,2,1,1,3,3,4,3,5,2,1,2,5,3,3,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,4,4,4,4,6,2,1,7,6,4,2,5,3,5,若い力が未来をつくります。自由の大国・日本を実現しましょう！,,,,
14,田中真一,1,0,3,1,1,0,1,49,0,13,4,16,90,25,75,0,50,0,0,50,50,50,1,2,1,1,4,2,2,2,3,1,1,1,2,5,2,1,1,2,2,3,1,2,1,3,2,5,5,4,2,5,5,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,2,1,4,1,2,2,2,3,6,2,1,2,4,5,7,3,6,8,主権在民。今を生きる主権者として投票の義務を果たそう！！,,,地方創生,
15,石川幹子,1,0,3,11,1,0,2,51,0,1,2,5,50,10,10,10,10,10,0,70,50,50,1,1,99,1,1,4,3,5,1,5,3,1,4,4,1,1,1,4,3,5,3,5,1,1,1,5,3,2,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,1,4,2,4,4,6,2,1,3,6,7,2,5,4,7,幸福実現党は未来政党です。未来を一緒に創りましょう！！,,,,
16,木戸口英司,1,0,3,14,1,0,1,52,1,5,13,6,0,80,20,80,10,80,100,10,50,10,3,3,3,3,4,2,2,3,3,2,2,5,4,2,3,2,5,2,3,2,2,4,3,4,4,2,5,3,3,4,3,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,5,5,2,5,5,5,3,3,5,2,1,2,5,6,4,3,7,6,政治の主役は主権である国民です。投票が政治と未来を創ります、,,,,
17,熊谷大,1,0,4,1,3,1,1,41,0,16,13,5,100,0,100,0,50,0,0,75,0,0,2,2,3,2,3,2,1,3,3,2,2,1,2,5,1,2,1,3,4,3,2,3,1,2,2,5,3,5,2,2,5,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,2,1,5,1,1,1,2,3,1,2,2,3,1,5,4,6,7,8,私は若い世代の率直な声を聴き相互の対話の元政策に反映させます,経済,,,
18,桜井充,1,0,4,2,3,3,1,60,1,16,6,5,999,999,999,999,999,999,999,999,999,999,2,3,2,4,4,2,2,3,3,2,1,5,4,3,3,3,3,2,3,2,3,3,3,3,4,2,3,4,3,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,2,3,99,99,99,99,99,99,99,99,99,5,政治にあきらめないで、参加して欲しいと思います。,景気対策,,,
19,油井哲史,1,0,4,11,1,0,1,36,0,1,2,15,50,25,25,25,50,25,25,75,50,25,1,1,1,1,1,2,2,5,1,5,5,1,2,5,2,1,1,3,3,5,3,5,2,1,2,5,2,3,1,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1,3,1,4,4,2,6,2,5,7,4,1,6,3,9,ともに素晴らしい宮城、日本の未来を創って参りましょう！,,,,
20,石井浩郎,1,0,5,1,3,1,1,52,1,5,7,4,100,50,90,50,80,50,50,90,50,50,1,3,2,1,4,1,2,2,2,2,2,1,2,4,4,1,2,4,5,4,5,2,1,2,1,4,5,2,2,5,5,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,4,1,2,2,2,2,3,4,7,5,4,3,2,1,6,6,利害得失にとらわれない将来を見据えた自分の判断で投票を。,,,,
21,松浦大悟,1,0,5,2,2,1,1,46,0,7,6,12,0,100,40,60,50,60,60,50,50,50,2,4,4,4,4,4,5,3,4,2,1,5,4,3,1,3,4,2,2,1,1,1,2,3,4,3,4,4,1,2,4,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,5,3,1,5,5,4,2,3,1,5,1,2,4,5,7,3,6,5,政治は変えられます。自分たちの意思を投票で明確に示しましょう。,,,,
22,西野晃,1,0,5,11,1,0,1,39,0,7,14,3,50,25,25,25,40,25,25,40,25,25,1,1,1,1,1,3,1,5,1,5,5,1,3,3,2,1,1,1,3,3,3,5,2,1,3,5,3,3,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,5,3,4,2,4,6,1,4,6,7,2,5,3,5,若者の力が未来を創る。一緒に変えよう。政策はある。幸福実現党。,,,,国家理念を明らかにし、国民の方向性を明示する。
23,月野薫,1,0,6,1,1,0,1,61,0,4,3,7,100,999,999,999,999,999,999,999,999,999,2,3,2,3,4,2,2,4,4,2,3,2,4,3,3,3,2,3,3,3,2,4,2,4,2,4,4,3,3,2,4,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3,3,3,2,2,3,2,3,6,5,3,2,1,5,6,4,7,6,未来を創る社会の一員として責任ある行動に期待しています。,,,,
24,城取良太,1,0,6,11,1,0,1,39,0,1,16,3,40,10,10,5,50,10,0,75,50,30,1,1,1,1,2,2,1,5,1,5,5,1,2,4,2,1,1,3,4,4,3,5,2,1,3,5,3,2,1,3,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1,4,3,4,6,4,2,3,4,7,5,1,6,2,7,この愛する日本を皆さんにしっかりつなぐために全力を尽くします,減税,,,
25,舟山康江,1,0,6,14,2,1,2,50,1,4,1,15,30,80,10,60,0,70,70,30,30,50,3,3,4,3,5,2,2,4,5,1,2,5,5,5,5,3,5,4,4,5,5,5,4,99,2,1,3,3,3,4,1,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,2,3,3,2,5,2,1,5,6,4,3,7,5,99,,,,
26,岩城光英,1,0,7,1,3,3,1,66,0,13,11,5,100,999,100,999,999,999,999,999,999,999,2,2,2,2,3,2,1,3,3,2,2,1,2,5,3,99,1,3,4,3,3,3,3,3,2,3,3,3,3,2,3,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,2,2,3,1,1,1,2,3,1,2,7,6,4,3,5,1,2,7,手を携えて希望と誇りの持てるふるさと福島を創り上げましょう,,,,
27,増子輝彦,1,0,7,2,3,2,1,68,1,13,15,6,50,60,50,50,999,50,999,999,999,999,2,2,3,5,4,2,4,1,2,2,2,5,4,1,2,2,4,1,2,2,3,2,2,4,2,99,4,4,2,4,4,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,5,1,2,5,5,5,99,3,2,4,99,99,99,99,99,99,99,5,自分の未来は自分の一票で決まる。,,,,
28,矢内筆勝,1,0,7,11,1,0,1,54,0,15,2,1,30,0,0,0,20,0,0,30,0,0,1,1,1,1,2,3,3,5,2,5,5,2,3,5,2,1,1,4,5,4,2,3,2,2,1,5,4,3,2,2,5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,5,1,4,2,4,6,99,99,1,7,5,4,2,6,3,5,政治は自分の未来を選択し、創造する行為である。投票に行こう。,,,,
29,岡田広,1,0,8,1,3,3,1,69,1,16,5,6,100,0,100,0,50,0,0,50,50,50,1,3,3,2,2,1,2,3,3,3,3,2,3,4,3,1,1,5,5,2,3,3,2,3,3,5,5,2,3,3,4,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,3,1,1,1,2,3,2,5,1,2,5,6,7,3,4,8,将来を担う若い世代の皆さんの声を選挙で届けましょう。,景気・雇用,,,
30,郡司彰,1,0,8,2,3,3,1,66,1,16,4,5,50,90,50,50,50,50,50,50,50,50,3,4,3,5,3,3,3,2,3,4,1,5,5,3,3,4,2,3,4,2,2,3,3,4,3,3,5,5,4,5,2,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,5,1,1,5,5,5,2,3,5,1,1,2,3,7,5,4,6,4,７０年振りに引き下げられた意義を噛みしめて下さい。１８は大人,総理の政治義務,,,
31,小林恭子,1,0,8,4,1,0,2,65,0,12,4,15,0,75,0,100,0,75,75,0,50,50,5,5,5,5,5,3,3,5,5,1,1,5,5,1,3,3,5,1,1,3,1,5,5,5,5,1,5,5,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,1,3,5,1,2,3,5,6,4,7,0,若い力で政治を変える絶好の機会。ともに希望ある未来を開こう。,,,,
32,武藤優子,1,0,8,5,1,0,2,51,0,11,5,2,75,0,50,0,100,50,50,50,50,50,2,5,3,3,3,4,4,2,2,2,1,3,3,3,2,3,5,3,3,1,1,1,3,3,4,3,4,4,2,3,5,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,2,2,4,3,3,2,3,5,1,2,4,6,3,5,7,5,うらやましいです。充分に考えて大切な投票権を行使して下さい。,,,,一院制
33,中村幸樹,1,0,8,11,1,0,1,52,0,1,2,3,60,35,35,5,60,10,30,70,50,40,1,2,2,1,2,1,1,5,1,5,3,1,4,5,2,1,1,4,4,4,2,5,1,1,1,5,3,2,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,1,2,2,4,4,6,2,1,5,3,4,2,7,6,5,神仏の心を心として、幸福繁栄自由を築く政党を選択してほしい。,,,,前文を神仏の心を心とする普遍的な内容とする
34,石原順子,1,0,8,15,1,0,2,55,0,4,10,15,60,50,30,30,55,40,60,35,40,35,3,4,4,3,2,3,2,4,2,4,2,2,5,3,2,2,5,2,1,5,3,2,4,2,5,2,2,4,1,3,4,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,4,3,4,4,3,2,1,2,5,3,4,6,7,6,誰が本当に実行力を持って結果を出せる政治家なのかの判断です。,,,,
35,上野通子,1,0,9,1,3,1,2,58,1,7,1,5,100,10,90,10,50,10,10,50,50,50,2,3,3,2,3,1,2,3,3,2,2,1,2,5,2,1,1,3,3,3,3,1,2,3,2,4,3,4,2,2,4,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,2,1,3,1,1,1,2,2,3,5,2,1,7,6,5,4,3,8,自分の将来のため政治に興味を持ち棄権せずに投票に行きましょう,,,,
36,三觜明美,1,0,9,11,1,0,2,54,0,1,2,12,30,0,0,0,0,0,0,20,0,0,1,1,1,1,1,2,1,5,1,5,5,1,3,5,2,1,1,5,5,3,3,5,1,1,2,5,2,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,5,5,4,4,2,99,1,2,7,5,3,6,4,7,増税不自由社会か、減税自由社会か。決めるのは若者の皆さんです。,,,,
37,田野辺隆男,1,0,9,14,1,0,1,56,0,1,12,5,10,80,20,50,10,50,70,10,10,10,5,5,5,5,5,3,2,2,5,1,1,5,5,1,1,3,4,1,1,3,5,4,3,5,5,2,5,2,4,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,5,5,5,2,3,1,5,1,3,4,5,6,2,7,5,政治は無関心でも無関係ではいられない。未来は自分で決めよう。,,,,
38,中曽根弘文,1,0,10,1,3,5,1,70,1,16,5,1,100,0,100,0,0,0,0,70,0,50,1,2,3,1,3,1,1,3,3,2,2,1,2,5,3,1,1,4,5,3,4,4,1,2,2,5,3,5,2,2,5,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,5,1,1,1,2,3,1,2,1,1,1,1,1,1,1,99,政治は自らの生活や将来の社会のあり方に深く関わるものです。,経済,,,
39,堀越啓仁,1,0,10,2,1,0,1,36,0,16,1,12,25,70,25,70,25,70,70,999,999,999,3,5,5,4,4,2,3,4,4,2,4,5,5,1,4,3,4,2,2,3,3,2,4,5,5,2,4,5,3,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,3,3,1,99,4,1,2,3,6,5,7,3,今、若者の政治参加が必要です！その感性を国会に届けましょう！,社会保障,,,
40,安永陽,1,0,10,11,1,0,1,68,0,1,12,10,65,0,10,0,40,0,0,65,60,60,1,1,2,1,1,1,2,5,1,5,4,1,2,5,2,1,1,5,5,4,3,5,1,2,1,5,2,2,1,3,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,1,2,2,4,2,4,6,5,7,6,2,3,4,1,8,大志をいだき至誠の心で世界のリーダーを目指せ。精神的支柱を！,,,,
41,関口昌一,1,0,11,1,3,3,1,63,1,99,99,99,100,999,999,999,999,999,999,999,999,999,2,3,3,2,3,2,2,2,2,3,4,2,3,4,3,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,2,99,99,99,99,99,99,99,99,99,99,7,自分の意志を持って、しっかり投票して下さい。,,,,
42,大野元裕,1,0,11,2,3,1,1,52,1,1,5,13,25,75,25,25,25,50,50,50,50,50,2,5,2,5,2,2,3,2,3,1,1,4,2,1,4,3,3,1,2,1,3,1,1,3,4,3,4,5,3,2,5,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,4,1,5,4,4,2,3,2,5,4,1,2,6,5,3,7,5,投票に参加しよう。皆さんの意思と力で旧い政治は変えられる。,,,,
43,西田実仁,1,0,11,3,3,2,1,53,1,7,6,5,90,30,100,0,40,30,30,50,50,50,3,3,4,5,4,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,4,5,4,4,4,3,4,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,3,1,1,2,2,2,3,1,2,3,1,5,6,4,7,5,若い方々の声がより生かされる政治にする為、積極的な参加を！,,,,
44,伊藤岳,1,0,11,4,1,0,1,56,0,12,7,6,0,80,0,100,0,80,80,0,0,40,5,5,2,5,5,2,3,5,5,1,1,5,5,1,3,3,5,1,1,2,1,5,4,4,5,1,5,4,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,99,1,3,5,1,2,3,99,99,99,99,1,未来を担うのは若者たちです。主権者として積極的に政治参加を。,,,,
45,沢田良,1,0,11,5,1,0,1,36,0,16,11,12,50,0,50,0,100,0,0,50,50,50,4,4,2,5,3,1,4,1,1,1,1,3,3,3,2,2,4,1,1,2,1,1,4,5,5,3,2,5,2,5,3,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,5,2,3,3,4,2,4,3,1,2,7,5,4,3,6,5,このままでは世代間格差が広がる一方です。自らの権利を勝ち取れ,公職選挙法,,,
46,佐々木知子,1,0,11,8,1,0,2,47,0,16,5,1,80,0,50,0,70,0,0,100,60,70,1,1,1,1,2,1,1,3,2,2,1,2,3,5,4,1,2,5,5,2,5,2,2,3,3,4,4,2,2,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,3,3,6,4,1,5,7,3,6,4,2,99,次世代をつくる若い人たちの期待に応えられる政治を実現したい。,経済デフレ脱却,,,天皇を元首と明記
47,小島一郎,1,0,11,11,1,0,1,45,0,1,2,12,30,0,0,0,0,0,0,30,10,0,1,2,1,1,2,3,2,5,1,5,4,1,3,5,2,2,1,4,4,5,3,5,1,1,2,5,2,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,1,99,2,4,6,6,5,7,4,2,3,1,6,若者と一緒に作る日本の未来。選挙へ行って、共に未来を変えよう,,,,
48,元栄太一郎,1,0,12,1,1,0,1,40,1,5,3,4,100,999,100,999,999,999,999,999,999,999,2,3,3,2,3,2,3,2,2,3,2,2,3,4,3,2,2,4,3,3,2,3,3,3,2,4,4,4,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,1,1,2,3,2,5,99,99,99,99,99,99,99,99,若い人達の夢を実現できる温かさを実感できる政治を頑張ります,,,,96条は改正が必要、ただし民法改正や緊急事態など国民的議論に任せるべき。
49,猪口邦子,1,0,12,1,3,1,2,64,1,1,5,2,100,50,100,50,50,50,50,50,50,50,2,3,3,3,3,1,2,2,2,3,2,1,3,4,3,2,3,4,3,4,2,3,2,2,5,3,5,5,3,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,1,1,2,1,3,5,1,2,4,6,7,3,5,5,主権者として誇り高く、よりよい国民国家を目指してください。,,,,
50,小西洋之,1,0,12,2,3,1,1,44,1,6,7,12,10,90,40,40,30,70,70,30,30,30,2,5,3,5,5,4,4,3,4,1,1,4,5,2,3,4,4,1,1,2,1,4,3,3,5,3,5,5,3,4,5,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,2,3,1,5,1,2,3,6,5,4,7,5,あなたの一票で、１８歳の自衛隊員の違憲の戦死を止められます。,,,,
51,水野賢一,1,0,12,2,3,1,1,49,0,2,1,15,40,90,60,10,50,30,30,0,999,999,3,5,2,5,4,4,3,3,3,2,1,3,4,5,3,3,3,1,4,1,1,2,2,3,5,3,4,4,2,3,5,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,4,3,2,3,1,5,1,3,99,99,99,2,99,5,99,,,,
52,浅野史子,1,0,12,4,1,0,2,45,0,12,5,7,0,100,0,100,0,100,100,0,0,0,5,5,5,5,3,3,3,5,5,1,1,5,5,1,3,5,5,1,1,3,1,5,4,5,5,1,5,3,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,1,3,5,1,2,3,5,6,4,7,5,戦争はイヤだ！未来を決めるのは私たち。みんなで声をあげよう。,,,,
53,香取成知,1,0,12,8,1,0,1,65,0,16,12,5,80,0,50,0,70,0,0,100,60,70,1,1,1,1,2,1,1,3,2,2,1,2,3,5,4,1,2,5,5,2,5,2,2,3,3,4,4,2,2,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,3,3,6,4,1,5,7,3,6,4,2,99,政治は未来をつくる仕事です。関心を持って欲しい。,経済デフレ脱却,,,天皇を元首と明記
54,古川裕三,1,0,12,11,1,0,1,34,0,1,12,14,25,15,10,0,50,0,0,50,50,50,1,1,1,1,1,1,1,5,1,5,5,1,2,5,1,1,1,4,5,4,3,5,1,1,2,5,4,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,5,2,4,2,4,6,3,7,4,5,1,6,2,5,投票に行こう。自分で調べ、自分で判断し、よりよい政治選択を。,,,,マスコミはその権力を濫用してはならず、常に良心と国民に対して、責任を負う
55,高橋正夫,1,0,12,15,1,0,1,85,0,3,12,5,100,60,60,0,20,0,10,10,10,0,1,1,1,2,3,1,1,3,3,5,4,1,3,2,3,3,3,4,5,5,5,2,1,1,1,4,1,1,1,4,5,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,2,2,3,99,99,1,2,3,6,4,5,7,2,日本社会を生活及び情報をもとによく見つめ個人でなく全体を見る。,,,,
56,中川雅治,1,0,13,1,3,2,1,69,1,6,5,7,90,40,70,20,50,20,10,60,50,50,2,3,3,2,4,2,2,3,3,2,1,2,3,5,3,2,2,5,5,5,4,5,3,5,3,3,5,4,3,4,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,3,3,1,1,2,2,3,1,99,99,99,99,99,99,99,99,6,様々な事象について複眼的な見方ができるようになってほしいです。,,,,
57,朝日健太郎,1,0,13,1,1,0,1,40,1,5,6,7,100,999,999,999,999,999,999,999,999,999,2,2,3,2,3,2,1,3,3,2,2,1,2,5,1,2,1,3,4,3,2,3,1,2,2,5,3,5,2,2,5,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,2,1,5,1,1,1,2,3,1,2,99,99,99,99,99,99,99,7,将来どのような日本で暮らしたいか、夢と希望を持って投票を！,,,,
58,小川敏夫,1,0,13,2,3,3,1,68,1,1,7,15,50,100,40,50,40,60,70,40,40,40,3,3,3,5,4,3,4,5,3,2,2,4,4,1,3,4,4,1,3,2,3,3,2,5,4,2,5,5,3,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,4,2,3,5,4,1,4,2,6,3,5,7,5,将来に負担を負わす政治ではなく将来を開く政治を行います。,,,,
